Success usually comes to those who are too busy looking for it.;Henry David Thoreau
The soul that sees beauty may sometimes walk alone.;J.W. von Goethe
Behavior is the mirror in which everyone shows their image.;J.W. von Goethe
Dream no small dreams for they have no power to move the hearts of men.;J.W. von Goethe
As soon as you trust yourself, you will know how to live.;J.W. von Goethe
We cannot solve problems with the kind of thinking we employed when we came up with them.;Albert Einstein
Learn as if you will live forever, live like you will die tomorrow.;Mahatma Gandhi
Stay away from those people who try to disparage your ambitions. Small minds will always do that, but great minds will give you a feeling that you can become great too.;Mark Twain
When you give joy to other people, you get more joy in return. You should give a good thought to happiness that you can give out.;Eleanor Roosevelt
When you change your thoughts, remember to also change your world.;Norman Vincent Peale
Success is not final. failure is not fatal: It is the courage to continue that counts.;Winston S. Churchill
I never dreamed about success. I worked for it.;Estée Lauder
The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.;Winston Churchill
If you are working on something that you really care about, you don’t have to be pushed. The vision pulls you.;Steve Jobs
Either you run the day or the day runs you.;Jim Rohn
Opportunity is missed by most people because it is dressed in overalls and looks like work.;Thomas Edison
I’ve missed more than 9,000 shots in my career. I’ve lost almost 300 games. 26 times I’ve been trusted to take the game winning shot and missed. I’ve failed over and over and over again in my life, and that is why I succeed.;Michael Jordan
